Location,Date,Product_ID,Product_Name,Brand,Quantity (liters/kg),MRP,Total_Value,Shelf_Life (days),Storage_Condition,Production_Date,Expiration_Date,Quantity_Sold (liters/kg),Price_per_Unit (sold),Approx_Total_Revenue(INR),Customer_Location,Sales_Channel,Quantity_in_Stock (liters/kg)
Bihar,9/27/2022,7,Lassi,Amul,219.7,27.55,6052.735,13,Refrigerated,9/6/2022,9/19/2022,67,29.34,1965.78,Karnataka,Online,152
Karnataka,11/5/2020,6,Curd,Mother Dairy,544.97,15.37,8376.1889,6,Refrigerated,9/16/2020,9/22/2020,509,11.51,5858.59,Gujarat,Retail,35
Karnataka,12/27/2021,3,Cheese,Britannia Industries,493.42,84.83,41856.8186,45,Refrigerated,10/30/2021,12/14/2021,330,82.77,27314.1,Haryana,Online,163
Delhi,3/9/2021,4,Yogurt,Dodla Dairy,433.13,61.44,26611.5072,30,Frozen,1/16/2021,2/15/2021,413,59.56,24598.28,Delhi,Wholesale,20
Tamil Nadu,9/21/2021,10,Ghee,Amul,792.04,53.22,42152.3688,63,Ambient,8/14/2021,10/16/2021,423,54.15,22905.45,Jharkhand,Retail,369
Maharashtra,12/5/2021,6,Curd,Amul,228.65,58.93,13474.3445,6,Refrigerated,11/8/2021,11/14/2021,224,54.54,12216.96,Jharkhand,Retail,4
Tamil Nadu,9/6/2020,7,Lassi,Amul,448.15,27.75,12436.1625,14,Refrigerated,7/17/2020,7/31/2020,348,27.34,9514.32,Tamil Nadu,Retail,100
Gujarat,4/21/2019,7,Lassi,Raj,741.27,87.54,64890.7758,12,Refrigerated,4/1/2019,4/13/2019,49,85.17,4173.33,Delhi,Wholesale,692
Telangana,8/2/2019,5,Ice Cream,Dodla Dairy,758.84,81.07,61519.1588,29,Frozen,7/17/2019,8/15/2019,654,79.92,52267.68,Bihar,Retail,104
Bihar,7/5/2019,4,Yogurt,Palle2patnam,973.05,98.8,96137.34,22,Refrigerated,5/13/2019,6/4/2019,592,100.68,59602.56,Karnataka,Wholesale,381
Tamil Nadu,3/4/2020,5,Ice Cream,Amul,987.59,32.56,32155.9304,30,Frozen,2/26/2020,3/27/2020,795,31.61,25129.95,Gujarat,Wholesale,192
Madhya Pradesh,5/25/2022,3,Cheese,Amul,361.12,16.98,6131.8176,44,Refrigerated,4/24/2022,6/7/2022,233,21.16,4930.28,Madhya Pradesh,Online,128
Tamil Nadu,3/1/2021,1,Milk,Amul,304.49,37.8,11509.722,1,Polythene Packet,2/14/2021,2/15/2021,244,37.3,9101.2,West Bengal,Online,60
Bihar,9/7/2020,5,Ice Cream,Amul,371.28,81.89,30404.1192,23,Frozen,9/6/2020,9/29/2020,267,81.56,21776.52,Telangana,Wholesale,104
Telangana,12/11/2020,9,Paneer,Raj,69.78,46.87,3270.5886,14,Refrigerated,12/1/2020,12/15/2020,45,50.2,2259,Maharashtra,Wholesale,24
West Bengal,10/25/2020,7,Lassi,Raj,459.11,29.93,13741.1623,15,Refrigerated,9/28/2020,10/13/2020,21,34.29,720.09,Chandigarh,Wholesale,438
Chandigarh,4/6/2020,1,Milk,Sudha,475.94,61.47,29256.0318,2,Polythene Packet,3/27/2020,3/29/2020,100,58.19,5819,Jharkhand,Retail,375
Madhya Pradesh,8/24/2022,1,Milk,Amul,630.73,39.24,24749.8452,1,Polythene Packet,7/25/2022,7/26/2022,8,34.81,278.48,Chandigarh,Retail,622
Uttar Pradesh,9/15/2022,9,Paneer,Mother Dairy,53.11,43.11,2289.5721,13,Refrigerated,8/25/2022,9/7/2022,42,39.03,1639.26,Jharkhand,Retail,11
West Bengal,6/25/2020,6,Curd,Mother Dairy,86.18,65.58,5651.6844,5,Refrigerated,6/11/2020,6/16/2020,53,69.46,3681.38,Kerala,Online,33
Tamil Nadu,11/21/2020,7,Lassi,Amul,266.74,84.47,22531.5278,18,Refrigerated,10/17/2020,11/4/2020,218,87.33,19037.94,Chandigarh,Retail,48
West Bengal,6/8/2021,9,Paneer,Sudha,279.54,12.35,3452.319,10,Refrigerated,4/15/2021,4/25/2021,201,12.08,2428.08,Kerala,Retail,78
Telangana,11/26/2021,9,Paneer,Sudha,885.61,15.88,14063.4868,12,Refrigerated,11/6/2021,11/18/2021,194,18.5,3589,Uttar Pradesh,Online,691
Delhi,12/6/2022,3,Cheese,Dynamix Dairies,704.15,82.63,58183.9145,74,Frozen,12/2/2022,2/14/2023,149,79.99,11918.51,Madhya Pradesh,Retail,555
Chandigarh,12/8/2019,2,Butter,Amul,677.86,63.3,42908.538,37,Refrigerated,10/28/2019,12/4/2019,307,63.18,19396.26,Haryana,Retail,370
Delhi,9/14/2022,7,Lassi,Amul,474.05,12.67,6006.2135,13,Refrigerated,8/14/2022,8/27/2022,220,8.46,1861.2,Delhi,Wholesale,254
Maharashtra,5/12/2021,4,Yogurt,Palle2patnam,995.82,93.96,93567.2472,29,Frozen,3/24/2021,4/22/2021,718,94.62,67937.16,Rajasthan,Online,277
Uttar Pradesh,7/21/2021,1,Milk,Sudha,61.57,33.11,2038.5827,1,Polythene Packet,5/25/2021,5/26/2021,13,35.68,463.84,Kerala,Wholesale,48
Chandigarh,5/19/2020,8,Buttermilk,Sudha,803.03,57.69,46326.8007,7,Refrigerated,4/9/2020,4/16/2020,6,59.52,357.12,Gujarat,Wholesale,797
Telangana,9/22/2022,10,Ghee,Raj,739.84,87.57,64787.7888,96,Ambient,8/23/2022,11/27/2022,316,86.66,27384.56,Uttar Pradesh,Wholesale,423
Delhi,11/5/2019,10,Ghee,Amul,55.99,89.19,4993.7481,66,Ambient,10/25/2019,12/30/2019,29,92.23,2674.67,Uttar Pradesh,Wholesale,26
Delhi,10/18/2019,9,Paneer,Raj,239.11,92.7,22165.497,12,Refrigerated,8/25/2019,9/6/2019,206,89.37,18410.22,Uttar Pradesh,Wholesale,33
Delhi,8/14/2019,1,Milk,Sudha,212.56,53.37,11344.3272,2,Polythene Packet,8/1/2019,8/3/2019,165,54.98,9071.7,Uttar Pradesh,Wholesale,47
Bihar,6/23/2019,2,Butter,Mother Dairy,726.76,36.68,26657.5568,37,Refrigerated,6/8/2019,7/15/2019,304,32.36,9837.44,Maharashtra,Retail,422
Gujarat,10/18/2020,1,Milk,Raj,372.37,99.25,36957.7225,28,Tetra Pack,9/20/2020,10/18/2020,80,96.49,7719.2,Chandigarh,Wholesale,292
Bihar,8/27/2020,6,Curd,Amul,82.33,70.7,5820.731,6,Refrigerated,7/27/2020,8/2/2020,2,67.49,134.98,Karnataka,Wholesale,80
Maharashtra,3/28/2020,1,Milk,Mother Dairy,700.61,85.72,60056.2892,1,Polythene Packet,2/14/2020,2/15/2020,255,87.59,22335.45,Chandigarh,Wholesale,445
Delhi,6/3/2021,10,Ghee,Mother Dairy,810.39,83.36,67554.1104,143,Ambient,4/21/2021,9/11/2021,282,82.9,23377.8,Uttar Pradesh,Wholesale,528
Telangana,6/16/2022,4,Yogurt,Amul,763.13,45.74,34905.5662,25,Refrigerated,6/1/2022,6/26/2022,136,44.69,6077.84,Kerala,Online,627
West Bengal,12/15/2021,8,Buttermilk,Mother Dairy,954.98,55.34,52848.5932,11,Refrigerated,11/17/2021,11/28/2021,461,52.85,24363.85,Gujarat,Wholesale,493
Rajasthan,3/9/2020,8,Buttermilk,Mother Dairy,133.63,67.82,9062.7866,10,Refrigerated,3/6/2020,3/16/2020,101,65.42,6607.42,Chandigarh,Wholesale,32
Rajasthan,8/4/2019,1,Milk,Sudha,45.51,26.99,1228.3149,1,Polythene Packet,6/11/2019,6/12/2019,8,30.59,244.72,Karnataka,Retail,37
Maharashtra,10/23/2020,6,Curd,Sudha,819.81,45.23,37080.0063,5,Refrigerated,9/17/2020,9/22/2020,7,40.39,282.73,Delhi,Wholesale,812
Telangana,11/11/2021,1,Milk,Mother Dairy,275.72,19.14,5277.2808,22,Tetra Pack,9/23/2021,10/15/2021,41,17.74,727.34,Chandigarh,Online,234
West Bengal,12/7/2019,8,Buttermilk,Amul,369.94,93.37,34541.2978,13,Refrigerated,10/25/2019,11/7/2019,145,91.51,13268.95,Chandigarh,Wholesale,224
Karnataka,12/20/2020,6,Curd,Sudha,391.2,54.8,21437.76,7,Refrigerated,11/10/2020,11/17/2020,81,52.84,4280.04,Delhi,Online,310
Rajasthan,12/10/2021,9,Paneer,Sudha,240.66,87.46,21048.1236,7,Refrigerated,11/4/2021,11/11/2021,239,86.95,20781.05,Rajasthan,Retail,1
Uttar Pradesh,7/25/2020,3,Cheese,Amul,657.01,84.46,55491.0646,64,Refrigerated,5/27/2020,7/30/2020,42,80.15,3366.3,Madhya Pradesh,Online,615
Rajasthan,4/8/2020,6,Curd,Mother Dairy,410.77,84.79,34829.1883,7,Refrigerated,3/13/2020,3/20/2020,292,83.76,24457.92,Kerala,Online,118
Uttar Pradesh,1/3/2019,2,Butter,Parag Milk Foods,514.72,56.53,29097.1216,30,Refrigerated,12/13/2018,1/12/2019,173,56.79,9824.67,Tamil Nadu,Online,341
Telangana,1/1/2019,10,Ghee,Mother Dairy,564.08,79.42,44799.2336,63,Ambient,12/10/2018,2/11/2019,427,77.21,32968.67,Kerala,Retail,137
Gujarat,8/10/2020,3,Cheese,Passion Cheese,992.52,31.8,31562.136,28,Frozen,8/9/2020,9/6/2020,120,33.42,4010.4,Maharashtra,Online,872
Telangana,11/7/2019,7,Lassi,Amul,417.65,32.16,13431.624,16,Refrigerated,9/26/2019,10/12/2019,166,31.02,5149.32,Chandigarh,Retail,251
Telangana,1/24/2020,4,Yogurt,Dodla Dairy,186.63,48.43,9038.4909,25,Frozen,1/19/2020,2/13/2020,82,44.83,3676.06,Madhya Pradesh,Online,104
Haryana,10/7/2020,7,Lassi,Mother Dairy,804.16,15.14,12174.9824,18,Refrigerated,9/16/2020,10/4/2020,792,12.64,10010.88,Karnataka,Wholesale,12
Gujarat,10/25/2020,4,Yogurt,Amul,330.65,31.92,10554.348,28,Frozen,9/29/2020,10/27/2020,180,33.13,5963.4,Chandigarh,Wholesale,150
West Bengal,4/5/2021,5,Ice Cream,Mother Dairy,561.73,73.83,41472.5259,24,Frozen,3/17/2021,4/10/2021,473,75,35475,Tamil Nadu,Retail,88
Bihar,8/1/2020,8,Buttermilk,Amul,376.54,60.5,22780.67,14,Refrigerated,6/22/2020,7/6/2020,287,64.42,18488.54,Rajasthan,Online,89
Karnataka,6/2/2019,3,Cheese,Dynamix Dairies,71.44,22.7,1621.688,87,Refrigerated,5/18/2019,8/13/2019,39,24.1,939.9,Maharashtra,Online,32
Gujarat,11/23/2022,3,Cheese,Amul,297.88,11.34,3377.9592,83,Refrigerated,10/11/2022,1/2/2023,282,12.71,3584.22,Chandigarh,Retail,15
Rajasthan,6/2/2021,10,Ghee,Sudha,630.64,98.99,62427.0536,86,Ambient,5/24/2021,8/18/2021,29,100.41,2911.89,Rajasthan,Wholesale,601
Karnataka,9/2/2022,9,Paneer,Sudha,272.21,34.94,9511.0174,13,Refrigerated,8/10/2022,8/23/2022,82,34.85,2857.7,Rajasthan,Retail,190
Chandigarh,6/8/2022,6,Curd,Mother Dairy,832.92,88.75,73921.65,7,Refrigerated,5/31/2022,6/7/2022,359,85.71,30769.89,Chandigarh,Online,473
Jharkhand,8/24/2019,7,Lassi,Mother Dairy,80.94,57.97,4692.0918,15,Refrigerated,8/2/2019,8/17/2019,57,60.35,3439.95,Gujarat,Retail,23
Maharashtra,6/12/2019,10,Ghee,Mother Dairy,322.23,38.23,12318.8529,79,Ambient,5/28/2019,8/15/2019,86,42.22,3630.92,Delhi,Wholesale,236
Kerala,8/3/2019,1,Milk,Amul,380.1,84.9,32270.49,2,Polythene Packet,6/24/2019,6/26/2019,235,80.97,19027.95,Jharkhand,Wholesale,145
Maharashtra,11/13/2022,5,Ice Cream,Mother Dairy,23.55,55.98,1318.329,28,Frozen,10/17/2022,11/14/2022,13,51.98,675.74,Jharkhand,Online,10
Haryana,2/27/2022,7,Lassi,Mother Dairy,872.21,75.31,65686.1351,15,Refrigerated,2/23/2022,3/10/2022,175,71.53,12517.75,Delhi,Retail,697
Karnataka,2/24/2022,6,Curd,Mother Dairy,796.73,55.95,44577.0435,7,Refrigerated,1/11/2022,1/18/2022,320,54.38,17401.6,Maharashtra,Retail,476
Kerala,1/23/2020,5,Ice Cream,Mother Dairy,365.14,68.96,25180.0544,30,Frozen,12/20/2019,1/19/2020,274,65.32,17897.68,Madhya Pradesh,Wholesale,91
Maharashtra,8/12/2022,5,Ice Cream,Dodla Dairy,205.77,34.46,7090.8342,29,Frozen,6/20/2022,7/19/2022,14,30.15,422.1,Jharkhand,Retail,191
Karnataka,7/26/2021,9,Paneer,Mother Dairy,421.74,78.56,33131.8944,7,Refrigerated,7/19/2021,7/26/2021,127,76.17,9673.59,Bihar,Wholesale,294
Uttar Pradesh,2/2/2019,2,Butter,Amul,844.47,95.38,80545.5486,38,Frozen,1/2/2019,2/9/2019,188,90.64,17040.32,Karnataka,Retail,656
Chandigarh,11/25/2021,5,Ice Cream,Palle2patnam,278.58,93.01,25910.7258,27,Frozen,10/19/2021,11/15/2021,109,94.07,10253.63,Karnataka,Retail,169
Haryana,6/17/2019,7,Lassi,Sudha,745.63,67.74,50508.9762,12,Refrigerated,5/7/2019,5/19/2019,388,72.7,28207.6,Telangana,Online,357
Gujarat,2/25/2019,5,Ice Cream,Palle2patnam,369.61,52.94,19567.1534,23,Frozen,2/18/2019,3/13/2019,27,52.21,1409.67,Chandigarh,Online,342
Chandigarh,3/17/2020,6,Curd,Mother Dairy,26.85,21.19,568.9515,5,Refrigerated,2/27/2020,3/3/2020,5,18.51,92.55,Jharkhand,Retail,21
Uttar Pradesh,5/28/2021,10,Ghee,Mother Dairy,817.19,74.83,61150.3277,78,Ambient,4/13/2021,6/30/2021,655,72.69,47611.95,Haryana,Wholesale,162
Chandigarh,1/19/2022,8,Buttermilk,Mother Dairy,584.94,76.24,44595.8256,8,Refrigerated,1/13/2022,1/21/2022,66,77.46,5112.36,Jharkhand,Online,518
Karnataka,4/7/2021,9,Paneer,Sudha,324.78,45.25,14696.295,11,Refrigerated,4/4/2021,4/15/2021,316,45.46,14365.36,Jharkhand,Wholesale,8
Rajasthan,5/13/2022,9,Paneer,Mother Dairy,638.88,83.67,53455.0896,7,Refrigerated,4/8/2022,4/15/2022,331,82.91,27443.21,Madhya Pradesh,Online,307
Madhya Pradesh,8/18/2019,5,Ice Cream,Mother Dairy,526.99,24.09,12695.1891,24,Frozen,7/3/2019,7/27/2019,219,19.62,4296.78,Karnataka,Online,307
West Bengal,8/8/2022,5,Ice Cream,Mother Dairy,429.58,50.9,21865.622,25,Frozen,6/20/2022,7/15/2022,156,54.53,8506.68,Rajasthan,Online,273
Delhi,11/9/2020,2,Butter,Amul,883.7,14.31,12645.747,26,Frozen,9/22/2020,10/18/2020,250,17.28,4320,Tamil Nadu,Wholesale,633
Karnataka,8/18/2021,6,Curd,Sudha,658.24,49.69,32707.9456,7,Refrigerated,6/22/2021,6/29/2021,427,50.98,21768.46,Maharashtra,Wholesale,231
Kerala,2/11/2020,1,Milk,Mother Dairy,644.42,51.21,33000.7482,27,Tetra Pack,1/18/2020,2/14/2020,485,50.86,24667.1,Chandigarh,Online,159
Haryana,7/16/2022,9,Paneer,Sudha,202.73,91.03,18454.5119,14,Refrigerated,6/6/2022,6/20/2022,95,93.07,8841.65,Karnataka,Retail,107
Delhi,11/5/2019,3,Cheese,Dynamix Dairies,850.42,27.3,23216.466,58,Frozen,11/3/2019,12/31/2019,638,32.28,20594.64,Uttar Pradesh,Retail,212
Rajasthan,4/12/2019,1,Milk,Raj,791.02,96.75,76531.185,26,Tetra Pack,3/20/2019,4/15/2019,762,94.7,72161.4,Gujarat,Retail,29
Delhi,12/6/2020,8,Buttermilk,Amul,27.32,69.59,1901.1988,12,Refrigerated,11/5/2020,11/17/2020,25,72.61,1815.25,Chandigarh,Online,2
West Bengal,5/8/2019,7,Lassi,Amul,123.8,14.2,1757.96,13,Refrigerated,3/12/2019,3/25/2019,39,10.83,422.37,Tamil Nadu,Online,84
Jharkhand,9/24/2019,1,Milk,Mother Dairy,347.23,63.29,21976.1867,1,Polythene Packet,9/13/2019,9/14/2019,153,63.02,9642.06,Delhi,Retail,194
Maharashtra,11/24/2020,1,Milk,Raj,895.75,12.05,10793.7875,23,Tetra Pack,10/12/2020,11/4/2020,887,16.07,14254.09,Telangana,Retail,8
Maharashtra,2/25/2021,6,Curd,Amul,873.48,44.19,38599.0812,5,Refrigerated,1/3/2021,1/8/2021,348,42.55,14807.4,Telangana,Online,525
Karnataka,10/5/2019,1,Milk,Amul,420.95,54.51,22945.9845,2,Polythene Packet,8/16/2019,8/18/2019,282,57.35,16172.7,Gujarat,Online,138
Bihar,9/18/2022,8,Buttermilk,Raj,514.55,97.7,50271.535,10,Refrigerated,9/7/2022,9/17/2022,346,101.88,35250.48,Kerala,Online,168
Madhya Pradesh,1/13/2022,7,Lassi,Amul,550.92,59.29,32664.0468,14,Refrigerated,1/4/2022,1/18/2022,410,55.44,22730.4,Kerala,Retail,140
Chandigarh,10/19/2020,4,Yogurt,Dodla Dairy,549.47,54.32,29847.2104,26,Refrigerated,9/5/2020,10/1/2020,135,58.65,7917.75,Karnataka,Retail,414
Haryana,11/12/2020,7,Lassi,Sudha,100.3,92.57,9284.771,12,Refrigerated,9/13/2020,9/25/2020,71,94.3,6695.3,West Bengal,Wholesale,29
Maharashtra,2/3/2019,3,Cheese,Britannia Industries,253.04,79.63,20149.5752,82,Refrigerated,1/7/2019,3/30/2019,71,83.67,5940.57,Haryana,Retail,182
Haryana,2/4/2019,7,Lassi,Amul,783.34,17.6,13786.784,15,Refrigerated,1/31/2019,2/15/2019,524,13.42,7032.08,Chandigarh,Retail,259
Maharashtra,2/8/2021,4,Yogurt,Palle2patnam,561.7,19.39,10891.363,27,Frozen,12/23/2020,1/19/2021,82,19.72,1617.04,Chandigarh,Online,479
Delhi,9/4/2022,10,Ghee,Sudha,356.3,23.13,8241.219,83,Ambient,8/19/2022,11/10/2022,288,22.35,6436.8,Karnataka,Wholesale,68
Telangana,9/18/2020,8,Buttermilk,Mother Dairy,408.26,91.1,37192.486,9,Refrigerated,8/24/2020,9/2/2020,310,93.69,29043.9,West Bengal,Wholesale,98
Rajasthan,4/6/2022,5,Ice Cream,Palle2patnam,728.07,81.51,59344.9857,26,Frozen,4/5/2022,5/1/2022,33,86.32,2848.56,Tamil Nadu,Online,695
Bihar,6/22/2022,8,Buttermilk,Sudha,164,12.21,2002.44,10,Refrigerated,5/29/2022,6/8/2022,118,11.32,1335.76,Karnataka,Retail,46
Uttar Pradesh,1/13/2020,6,Curd,Raj,208.75,34.29,7158.0375,6,Refrigerated,1/10/2020,1/16/2020,60,35.13,2107.8,Rajasthan,Retail,148
Haryana,9/6/2022,2,Butter,Amul,556.3,71.47,39758.761,39,Refrigerated,8/15/2022,9/23/2022,299,75.52,22580.48,Kerala,Retail,257
Uttar Pradesh,4/8/2021,1,Milk,Sudha,985.85,50.2,49489.67,26,Tetra Pack,2/12/2021,3/10/2021,326,51,16626,West Bengal,Online,659
Uttar Pradesh,12/7/2020,5,Ice Cream,Amul,877.76,19.96,17520.0896,26,Frozen,10/22/2020,11/17/2020,618,19.96,12335.28,Karnataka,Online,259
Delhi,10/23/2020,8,Buttermilk,Amul,782.49,86.9,67998.381,12,Refrigerated,9/29/2020,10/11/2020,689,91.15,62802.35,Tamil Nadu,Wholesale,93
Haryana,12/25/2021,8,Buttermilk,Sudha,522.19,12.37,6459.4903,7,Refrigerated,12/13/2021,12/20/2021,214,12.28,2627.92,Kerala,Online,308
Haryana,4/15/2022,7,Lassi,Amul,121.03,31.5,3812.445,14,Refrigerated,3/3/2022,3/17/2022,18,30.09,541.62,Rajasthan,Wholesale,103
Delhi,6/6/2021,2,Butter,Mother Dairy,323.86,27.33,8851.0938,32,Frozen,5/27/2021,6/28/2021,8,25.65,205.2,Bihar,Online,315
Madhya Pradesh,4/20/2020,10,Ghee,Mother Dairy,656.46,81.77,53678.7342,109,Ambient,2/20/2020,6/8/2020,146,82.19,11999.74,West Bengal,Retail,510
Haryana,5/4/2022,10,Ghee,Sudha,565.4,13.99,7909.946,88,Ambient,3/6/2022,6/2/2022,556,14.29,7945.24,Chandigarh,Retail,9
Uttar Pradesh,8/24/2022,6,Curd,Sudha,220.21,63.67,14020.7707,6,Refrigerated,6/27/2022,7/3/2022,218,65.75,14333.5,Delhi,Retail,2
Jharkhand,3/25/2019,4,Yogurt,Dodla Dairy,724.27,98.37,71246.4399,30,Refrigerated,2/10/2019,3/12/2019,489,99.61,48709.29,Delhi,Retail,235
Maharashtra,11/27/2019,8,Buttermilk,Mother Dairy,768.94,29.29,22522.2526,14,Refrigerated,11/20/2019,12/4/2019,748,26.97,20173.56,Haryana,Wholesale,20
Chandigarh,9/14/2021,7,Lassi,Sudha,2.11,20.15,42.5165,13,Refrigerated,7/25/2021,8/7/2021,1,17.46,17.46,Bihar,Online,1
Delhi,10/25/2019,7,Lassi,Amul,923.24,37.15,34298.366,13,Refrigerated,9/6/2019,9/19/2019,414,37.79,15645.06,Chandigarh,Wholesale,509
West Bengal,8/26/2019,10,Ghee,Raj,88.04,47.77,4205.6708,127,Ambient,7/2/2019,11/6/2019,22,51.79,1139.38,Uttar Pradesh,Retail,66
Chandigarh,10/6/2020,7,Lassi,Sudha,680.44,36.63,24924.5172,18,Refrigerated,9/15/2020,10/3/2020,566,40.37,22849.42,Karnataka,Online,114
Uttar Pradesh,12/19/2020,2,Butter,Mother Dairy,513.86,83.47,42891.8942,39,Frozen,12/12/2020,1/20/2021,160,87.4,13984,Chandigarh,Online,353
Telangana,7/28/2019,6,Curd,Mother Dairy,566.41,99.78,56516.3898,7,Refrigerated,6/13/2019,6/20/2019,110,101.1,11121,Telangana,Retail,456
Bihar,9/14/2022,2,Butter,Warana,731.94,19.22,14067.8868,29,Frozen,9/11/2022,10/10/2022,309,17.96,5549.64,Tamil Nadu,Retail,422
Gujarat,9/6/2022,2,Butter,Mother Dairy,950.92,90.18,85753.9656,34,Refrigerated,7/22/2022,8/25/2022,642,93.13,59789.46,Haryana,Online,308
Rajasthan,5/23/2021,1,Milk,Sudha,143.87,94.51,13597.1537,25,Tetra Pack,4/12/2021,5/7/2021,59,96.85,5714.15,Karnataka,Retail,84
Telangana,3/3/2022,7,Lassi,Amul,591.13,96.59,57097.2467,15,Refrigerated,1/26/2022,2/10/2022,413,93.64,38673.32,Rajasthan,Online,178
Uttar Pradesh,3/26/2022,10,Ghee,Mother Dairy,335.83,13.99,4698.2617,96,Ambient,2/6/2022,5/13/2022,156,17.74,2767.44,Chandigarh,Wholesale,179
Uttar Pradesh,7/22/2020,10,Ghee,Sudha,228.21,91.51,20883.4971,124,Ambient,7/2/2020,11/3/2020,103,95.02,9787.06,Bihar,Retail,125
Telangana,10/3/2022,9,Paneer,Mother Dairy,888.43,92.52,82197.5436,9,Refrigerated,8/6/2022,8/15/2022,772,92.82,71657.04,Delhi,Online,116
Delhi,9/26/2021,6,Curd,Amul,484.47,78.33,37948.5351,5,Refrigerated,8/1/2021,8/6/2021,404,75.53,30514.12,Uttar Pradesh,Retail,80
Jharkhand,6/3/2019,1,Milk,Mother Dairy,107.91,41.4,4467.474,27,Tetra Pack,5/1/2019,5/28/2019,16,36.59,585.44,Haryana,Online,91
Gujarat,7/2/2020,10,Ghee,Raj,195.58,96.7,18912.586,136,Ambient,6/12/2020,10/26/2020,116,92.65,10747.4,Jharkhand,Retail,79
Kerala,11/19/2019,8,Buttermilk,Sudha,19.6,12.88,252.448,12,Refrigerated,10/29/2019,11/10/2019,9,10.7,96.3,Jharkhand,Retail,10
Bihar,12/24/2019,2,Butter,Amul,586.65,28.32,16613.928,36,Refrigerated,11/24/2019,12/30/2019,289,29.76,8600.64,Kerala,Online,297
Delhi,4/4/2022,2,Butter,Mother Dairy,318.94,10.97,3498.7718,33,Refrigerated,3/23/2022,4/25/2022,220,7.79,1713.8,Madhya Pradesh,Retail,98
Karnataka,1/11/2021,10,Ghee,Raj,500.55,91.57,45835.3635,88,Ambient,12/26/2020,3/24/2021,173,89.2,15431.6,Jharkhand,Wholesale,327
Kerala,2/19/2022,1,Milk,Mother Dairy,909.29,66.17,60167.7193,26,Tetra Pack,1/16/2022,2/11/2022,342,66.52,22749.84,Delhi,Wholesale,567
Maharashtra,7/14/2021,1,Milk,Raj,814.72,56.52,46047.9744,1,Polythene Packet,5/18/2021,5/19/2021,552,53.5,29532,Karnataka,Wholesale,262
Kerala,3/8/2019,6,Curd,Amul,989.32,66.96,66244.8672,5,Refrigerated,3/1/2019,3/6/2019,109,62.11,6769.99,Bihar,Online,880
Karnataka,9/16/2021,10,Ghee,Raj,194.18,64.63,12549.8534,142,Ambient,7/31/2021,12/20/2021,58,63.28,3670.24,Madhya Pradesh,Wholesale,136
Madhya Pradesh,1/26/2020,7,Lassi,Amul,704.51,73.6,51851.936,17,Refrigerated,12/12/2019,12/29/2019,552,77.74,42912.48,Delhi,Retail,152
Tamil Nadu,3/13/2022,3,Cheese,Britannia Industries,213.37,87.85,18744.5545,45,Refrigerated,1/12/2022,2/26/2022,170,86.92,14776.4,Delhi,Wholesale,43
Tamil Nadu,10/15/2020,3,Cheese,Passion Cheese,945.88,46.62,44096.9256,80,Refrigerated,8/22/2020,11/10/2020,261,42.7,11144.7,Tamil Nadu,Wholesale,684
Delhi,1/23/2021,2,Butter,Amul,20.38,52.93,1078.7134,39,Refrigerated,1/5/2021,2/13/2021,11,55.79,613.69,Bihar,Retail,9
Jharkhand,9/6/2019,7,Lassi,Amul,894.86,51.96,46496.9256,12,Refrigerated,7/25/2019,8/6/2019,178,49.12,8743.36,Uttar Pradesh,Wholesale,716
Kerala,7/12/2019,3,Cheese,Amul,532.05,95.54,50832.057,43,Frozen,5/21/2019,7/3/2019,282,98.47,27768.54,West Bengal,Wholesale,250
West Bengal,12/15/2019,9,Paneer,Amul,104.3,96.34,10048.262,14,Refrigerated,10/20/2019,11/3/2019,76,101.1,7683.6,Maharashtra,Online,28
Jharkhand,1/3/2022,3,Cheese,Passion Cheese,651.41,62.48,40700.0968,41,Frozen,11/11/2021,12/22/2021,497,59.66,29651.02,Chandigarh,Retail,154
Kerala,6/21/2019,5,Ice Cream,Dodla Dairy,701.46,98.78,69290.2188,27,Frozen,4/23/2019,5/20/2019,596,98.09,58461.64,Uttar Pradesh,Retail,105
Karnataka,5/16/2020,6,Curd,Amul,103.34,24.46,2527.6964,6,Refrigerated,3/26/2020,4/1/2020,27,20.51,553.77,Chandigarh,Online,76
Chandigarh,6/23/2019,10,Ghee,Sudha,327.95,55.03,18047.0885,63,Ambient,5/19/2019,7/21/2019,129,54.14,6984.06,West Bengal,Retail,198
Rajasthan,8/24/2020,10,Ghee,Amul,894.53,84.49,75578.8397,93,Ambient,7/12/2020,10/13/2020,381,89.08,33939.48,Madhya Pradesh,Online,513
Bihar,7/17/2021,7,Lassi,Raj,256.77,94.88,24362.3376,17,Refrigerated,6/15/2021,7/2/2021,235,95.07,22341.45,Madhya Pradesh,Online,21
Bihar,9/7/2019,3,Cheese,Passion Cheese,221.31,84.24,18643.1544,55,Refrigerated,7/24/2019,9/17/2019,200,89.22,17844,Chandigarh,Online,21
Chandigarh,11/20/2022,8,Buttermilk,Amul,362.51,95.74,34706.7074,7,Refrigerated,10/2/2022,10/9/2022,293,94.48,27682.64,Jharkhand,Online,69
Chandigarh,9/17/2020,2,Butter,Amul,596.83,97.03,57910.4149,25,Refrigerated,8/6/2020,8/31/2020,303,99.95,30284.85,Madhya Pradesh,Online,293
Jharkhand,6/9/2022,1,Milk,Sudha,880.17,47.88,42142.5396,2,Polythene Packet,6/3/2022,6/5/2022,575,52.4,30130,Chandigarh,Retail,305
